TS,TJ
278890906,166259480
771271398,680172770
380543304,264506865
86960528,85723752
582316155,498109307
676376073,605832181
507710682,431187370
57818678,57186798
369421207,318736850
77746779,76550713
234660071,233628466
245433083,241793489
236961973,236598374
266297383,257698486
274932063,274177284
269978664,269286927
218233735,217439964
251755223,243565656
149634425,148258589
217535248,199695668
226284961,225147551
183472644,183062824
212336772,211982430
256995696,256076821
216465240,216122448
246974377,246589072
202713077,201872286
299810701,298221226
159623811,158636174
283371637,281275844
225399335,224815651
277964361,277197903
273643627,273343740
246117722,245841314
248023589,247501989
266280297,266005512
303157815,302438575
278586014,277463374
232894391,231332352
246880219,245568119
30731841,30232608
247020514,246617502
253478095,252704463
282781020,282281637
282510615,282067197
279549910,279130552
241214712,240774986
275983483,275139921
262625349,261911966
181959797,180976009
308522667,299841090
222490864,222070484
237909720,237633061
252741260,252453799
241007265,240721636
220232398,219970923
251382110,251116413
234918396,233542718
259330641,259061683
247557274,246816944
252638826,251997974
258550331,257771562
253268908,252752007
260888158,260292974
278946001,278206552
261521591,261008978
296852164,295839641
296921674,296148101
272761113,271072226
322202979,316572171
315553732,314143983
217184575,214870990
235896548,235524618
207726317,207147693
224715362,224220441
243896436,243670795
256743253,256482689
242486939,241942195
231957059,231489559
225373645,224958171
260691052,256624322
130252053,129562486
247603607,247002797
241686260,241315468
234866733,234550067
271292661,270990696
252965716,252739418
285362655,284802947
262409438,261868837
282583046,281799669
277884314,276491956
27136401,26357600
162447505,161826409
197649050,196856547
228064357,227776189
225103428,224749469
224832728,224297745
231762305,231545740
216213619,215625422
234849330,234468396
233317013,232959849
164887004,164443770
254234880,253699489
262734786,262501555
256890640,256647433
273754295,273537475
269421335,269078785
282460717,282195060
268483243,268125396
277237387,276770901
274164359,273572259
279335917,277475081
226508719,225773680
253999057,253587790
241408609,241156342
248331336,247888163
244241608,243915700
253660303,253242404
261241019,260867007
276481890,269852278
288960576,280577263
292611131,290752274
262089675,261448900
278866030,278654160
285705181,285435305
280419695,280193091
280753567,280385417
284936238,284722828
281813709,281172325
296144575,295780003
295020414,292716618
311505397,310022499
233649240,233185998
223825829,223284439
229763486,229530144
235578033,235151132
229976560,229599471
254627826,254358908
240983981,240625201
248669642,248281589
241002176,240656780
246105171,245550687
191074783,190563236
228850277,228517763
237296827,236602810
245031600,244443258
232708747,232414023
258350013,257836051
273525572,273037641
269440343,268760057
269227038,267873842
283400569,281985033
184937434,184366214
210531023,209980694
217104522,216491706
231054003,230637477
241062183,240606397
247239034,246900961
246970361,246635515
247911985,247505007
249579404,248166475
251732491,251335722
233892468,233186276
244123011,243813561
240310888,239822303
246936787,246397309
255299708,255078982
252540105,252155642
269145062,268500074
282811599,282308951
279741039,279448917
283910543,283176976
224104382,223456816
220642810,220345332
237284479,236829726
243320903,242853583
254096238,253797801
247503216,247237511
251728140,251226290
246390083,245950103
255520518,255051121
277445483,277114051
228280572,227926835
211611670,211374958
230046997,229734079
239493749,239104045
250620084,250122965
252534045,252330578
250656832,250277855
250037338,249535933
248465981,248194191
249639716,249346688
224453898,223904247
251035752,250721807
233354063,232990103
240025501,239814089
260276792,259662053
250248629,250055239
254574338,254181267
257646007,257302464
268114979,267813203
270657611,269896493
224958345,224282863
225942741,225668390
230619887,230296438
234458161,234259009
242224958,242027199
239602411,239422502
233428829,233236123
234493397,234098147
237187517,236973863
247604698,247248501
208481008,208155585
221496561,221197270
226943947,226661291
248027957,247589439
244867101,244407412
256170614,255774555
246211759,246030128
253408728,253226514
245295971,244948250
257231442,256962110
221247901,220894035
232912081,232621289
246997762,246414415
241592327,241351283
258073376,257595956
261204300,260914663
260201756,259858572
271777628,271426050
268266639,267879192
268289312,267436531
239744735,239377930
226774415,226385645
233986535,233705184
235296586,235016046
240037389,239735900
239804936,239582566
244573443,244388456
246572101,246391914
249141549,248742435
246873478,246575505
245743825,245110586
260759353,260377306
259110937,258860623
269464479,269225607
265025572,264654107
255779686,255407681
271125909,270677219
272239609,271765846
272219782,271603225
277203098,276315938
236460777,235848341
237345340,237064194
249558667,249282371
254257560,254035212
261313476,261131751
265884495,265697138
265819257,265647985
273650886,273024924
274834020,274463406
302813692,302122825
223884742,223518112
235824395,235607861
247340653,247118971
244875617,244688919
247038050,246723094
255909630,255636907
252600758,252348324
261969158,261719237
268371171,267987018
261352219,261019598
220235330,219926864
216969570,214985056
222484868,222162620
227974743,227681170
234055010,233664120
237361443,237189573
240746172,240483639
241482746,241225376
254578739,254288535
251723221,251416553
233561645,232987522
252036397,251787211
240916911,240730920
249968717,249622078
245044121,244851940
252954232,252681513
253569988,253337759
256495783,256233162
253470892,250590806
275647358,275208049
240728701,240427183
258615749,258128491
275182969,274697934
290580595,290209391
284764634,284598081
279199041,278885950
287603373,287365639
290039167,289780498
289429433,288874881
289195233,286098749
220759248,220486740
238835133,238538315
229644573,229297110
249512297,249280714
242824588,242559292
244322580,243998764
261127768,260858998
257665178,257253842
251060778,250712782
264516776,264235083
184317720,183903381
229599526,229146521
236409890,236101352
240287705,240120968
239630533,239391749
234474053,234227939
235990148,235747124
237320603,236968496
249234988,248860655
249040689,248599492
29794137,29151415
199885107,199369274
191929126,191657202
220947429,220564761
211124861,210811983
242426759,242134126
219331928,219159229
225431272,225074594
251673700,251443425
226738707,226534616
215918120,215449557
225810910,225464056
219055893,218787989
231077110,230905057
241695606,241398701
241522260,241187375
254489281,254185058
250768234,250598818
253110900,252904658
242807763,242412445
194404819,194080632
212555306,212127215
231852937,231449235
241479287,241178012
247507539,247110718
224119487,223790415
235938012,235710522
261917644,261527403
244752473,244522486
253067399,252440146
218301831,217993297
231321541,231070735
240998274,240744436
245473515,245229634
261377504,261145820
248628926,248317678
260891961,260593426
267791043,267439870
267272562,266863038
260306430,259590001
261388316,261005024
293044234,292525457
285896491,285440300
271877811,271718918
262964905,262492011
281484843,281159831
280031114,279491405
285202478,284841673
292084680,291653910
306867858,306617567
225910128,225146945
221360722,221169645
238977649,238691240
238415405,238146207
241941286,241716611
241589033,241324353
246370827,245944404
254580555,254153909
269377877,268667316
262504958,261873216
97763829,97338151
196925275,196483767
182694765,182345283
202152276,201994908
195640839,195497593
198154239,197793373
191481105,191330968
189245494,188624502
225972254,225543959
241040505,240324976
234056283,232839942
238446757,238210451
241206578,240981363
241945401,241718575
260058842,259800885
251702157,251489763
250283734,250041394
249763124,249533995
212579278,212208729
218832532,218680964
223065217,222929400
240246935,240078678
241477950,241314704
235085039,234937176
227825893,227683118
238413943,238241408
230247497,229885810
241346484,240868814
210851477,210578234
219406447,219165403
229470444,229327443
229148113,228938667
234536164,234301954
246640093,246421294
242335793,242054135
253970891,253818213
255403334,255168315
257243639,256792833
220054569,219633760
235337880,235078972
235606425,235448174
246549074,246370952
249714631,249446537
237607544,237275905
259597653,259249994
273027842,272853809
274053708,273820570
275306666,274771915
236613593,236068494
242588765,242315763
232876083,232736514
238983263,238791326
245722091,245513922
236016496,235820166
250017672,249795427
242705183,242462068
255953370,255752019
243965727,243433957
217370311,217098495
230017745,229685650
