TS,TJ
24096120,23848077
24540138,24393554
23966293,23812118
24194715,24027512
24372754,24291744
24379140,24308467
27448190,27088849
24246883,24112954
23996233,23921964
23930744,23784507
23635721,23513819
23817092,23684336
24092787,23933509
23732822,23606293
23983304,23836982
23259173,23192045
24064765,23921850
23990313,23857279
23877932,23718501
26898405,26605536
25450869,25256321
24677304,24519000
23973299,23809602
23391636,23317200
23193461,23099017
26691841,26422024
23669471,23577752
23861940,23781344
25259274,25091697
24017493,23849052
23301822,23215801
25000236,24852978
24374154,24228189
24228308,24146243
24046022,23880338
23981168,23906482
23428548,23341265
23837341,23713305
24964778,24785073
24956469,24741489
23661303,23585873
23411000,23345505
24535838,24383211
23784138,23654116
27123152,26819318
23590973,23469856
24668817,24521741
24073602,23935069
23845461,23679598
24407041,24254123
24341032,24178582
23369161,23301395
23820037,23732850
24036501,23956838
23996962,23903381
24061763,23986838
24728261,24578854
23525249,23449841
24183993,24030835
24729467,24549459
24048188,23956037
25884395,25595174
23591000,23448217
24937970,24745771
24338158,24170142
25299733,25065503
24348840,24184676
24879038,24738857
23876515,23734177
25468490,25285347
24117440,23982863
27273854,26978260
23884850,23790915
23850223,23771624
27289973,27011705
23480232,23396742
23919599,23776179
24744769,24582031
23953040,23811736
23872609,23740221
23768600,23635443
23623522,23491745
23743356,23588864
23813741,23671780
24411928,24242663
23976728,23899911
23434604,23355884
23555119,23415700
25156993,24883493
23658701,23576165
23658875,23587092
24063249,23919665
26677398,26524674
23814329,23709196
24427265,24261069
24002706,23927958
23890701,23820814
23739947,23591185
23813298,23655825
23802004,23661630
24002280,23831724
23445802,23306519
24124706,23983664
23459927,23360983
27590909,27292833
23614624,23538583
24479244,24342658
23710284,23633654
24003116,23825069
23733227,23573328
23688148,23612497
23967373,23833391
23150320,23075988
24199520,24042894
26371252,26089127
23553195,23415823
23792754,23651531
23586367,23432789
26870478,26565208
23754382,23622029
24302230,24172615
25934601,25658962
24000024,23854445
27852064,27507738
24002415,23841888
24534723,24459747
23684586,23578111
24703795,24627070
23626739,23539065
23719506,23558605
24538217,24347176
23483010,23319246
23243332,23150855
23272640,23197004
24224463,24060746
24950526,24755166
23032659,22962314
24215679,24058048
24188605,24025513
23990809,23855569
23948439,23822383
23479954,23333693
27934373,27624289
23886272,23735291
23945513,23778548
23932516,23800805
23525844,23450684
23405862,23299302
24157903,24011689
24115530,23971293
24214500,24063354
27054777,26761962
23827963,23703384
23395798,23258058
23840225,23672569
25014130,24852207
24173132,24034571
23948618,23821570
23832325,23688634
24308504,24135060
24567006,24403039
25302346,25121784
25315254,25146644
23829749,23676284
23727943,23626353
23861695,23713716
24127471,23964263
24209230,24054431
23293020,23217807
26755441,26660418
26873088,26713844
25381630,25171350
24504057,24352740
26820036,26745411
23440455,23297159
23942439,23771889
23122708,23051139
25059014,24982534
24026280,23855285
23782884,23623173
23570845,23496079
24653371,24511126
24147085,23998233
24314293,24158890
23916947,23834498
24213630,24053061
25029864,24883880
23527865,23432224
23945140,23863261
24682546,24500921
23870886,23728975
23139153,23044642
24903756,24690703
23394803,23317091
24030551,23889667
24137420,23975396
24159845,24072221
25742699,25517934
24175084,24022645
23710888,23547719
23680361,23532121
24655994,24571372
23880766,23805858
23274243,23195737
25367224,25182235
23747615,23555499
23694777,23617228
23553949,23471888
23868043,23735058
24191159,24011486
23689554,23614351
23436319,23361044
24220460,24073825
24030581,23885687
24114683,23949892
24117241,24032654
24205403,24131797
23912132,23747629
24295587,24210665
23793510,23633900
23450868,23376876
23548124,23478193
23883470,23748795
24134535,23956129
25710812,25497212
23619434,23544901
24857093,24708305
23418676,23316746
24521895,24337711
24653916,24481785
27196499,26898003
23733852,23659275
23545964,23460419
24585527,24413948
24326749,24251602
24019530,23881181
24393572,24232924
24243473,24101127
24342235,24192517
23558243,23434020
24416223,24343658
24048425,23944144
25015519,24868933
23875009,23717885
25312672,25133799
27225904,26863055
25394709,25225408
25802116,25563764
24338589,24174819
23146499,23053220
23596605,23519929
24479031,24407212
23724906,23639713
23506458,23427661
24448610,24273014
25675241,25439019
23587816,23495242
24547994,24385409
25866430,25674605
23023132,22937879
23322373,23256377
23526639,23425418
23168306,23102347
24400506,24211071
23658272,23529397
24046978,23887929
23596812,23521529
23172355,23098016
24850094,24673811
23520660,23436570
23110926,22961595
24169196,24027950
23825671,23660441
23095082,23017368
23962544,23837607
23927027,23756414
24087416,23922816
24125231,23983785
23496075,23335249
23998582,23936312
23222605,23126966
25178166,24981718
23328337,23256783
23555518,23406428
24783732,24578367
23822625,23680315
23743623,23565823
25148366,24918722
24143738,24067650
23359707,23282714
24236384,24078312
23506976,23393847
27194767,27090363
23761213,23632918
23230451,23140241
23835327,23699500
24460306,24293534
23906832,23746964
26417692,26152534
24260327,24091163
24470635,24314785
24283161,24133861
25966994,25746787
24180845,24030719
23320199,23221864
23729066,23663330
23515483,23366409
27229444,27088610
23397769,23214338
24917918,24735727
24154693,24064102
24244606,24094832
23948658,23862505
25005131,24809553
24038767,23884246
24070765,23904726
23533191,23456126
24092105,23926278
24415297,24263140
23698063,23565310
25367551,25103215
24186214,24024522
26085185,25833547
23785972,23652321
23953430,23777078
24219668,24054643
24211965,24075556
24006585,23928967
23532681,23395390
23585981,23511851
24816408,24611175
23788150,23627816
24029304,23887423
24200569,24044101
23638606,23564560
23414862,23338886
23690949,23595035
24373277,24225601
24389948,24240559
24250790,24108947
24768406,24571039
24199020,24075146
23601451,23507769
24316612,24124568
24298037,24123233
23545492,23422555
25456413,25175467
23739177,23595850
23993823,23856587
24087863,23943794
24280420,24116092
23775948,23632656
23464147,23392519
24221372,24085687
23815345,23726637
24304902,24126356
23664336,23584105
24063492,23880461
24306910,24151750
23795477,23718012
28163210,27839039
23993409,23897857
27718550,27543155
25288211,25101629
24974817,24749759
26767225,26609194
23193366,23114525
24267377,24125516
24243018,24064493
24841574,24620678
25557828,25342414
25250963,25026026
26861252,26586736
23647281,23549828
26698507,26393193
23890267,23718104
23805646,23654198
24941200,24736111
24780967,24598391
24079843,23944052
24048090,23885452
24881363,24692047
23655968,23526902
24099287,23939895
22765808,22677887
23866345,23792350
24960610,24747250
23855048,23788195
24223848,24074677
26999057,26672114
25186805,25083695
23640535,23503196
23799572,23652155
23909992,23771453
24041343,23855473
24042573,23916998
24004389,23866545
24017928,23865689
23901082,23777764
23427542,23357135
23558083,23481923
23714198,23606937
23591549,23518076
23799755,23672445
25298362,25094281
23667135,23553352
23462084,23395831
24037120,23932435
27049304,26736207
23912698,23816003
23716435,23627647
23966322,23838213
23187079,23111203
27895422,26302143
24517626,24346830
23685230,23610334
24424927,24260795
23469171,23326177
24061230,23905835
24531838,24360034
24499042,24299595
23573284,23430577
24597640,24521445
26192872,25934478
24492191,24311732
24130093,23936204
26765961,26458468
23809212,23733582
23843048,23676785
26535714,26397878
23510324,23374571
24387410,24225766
23643992,23569720
23682975,23554409
24174822,24012742
28048438,27715586
24787308,24600842
23932612,23836562
23401005,23260212
24306827,24160089
23744855,23673756
23739999,23646040
23806828,23673323
24329557,24185115
24138715,23964344
23917421,23825607
24003491,23860163
24529229,24361626
24572291,24376158
24093566,23944641
23599241,23458064
24482481,24321285
24356030,24186321
24421188,24277312
24941422,24775001
25980903,25769591
23960795,23864403
27044395,26779222
23519124,23420397
26850661,26697514
23247716,23161278
26807504,26668351
24065758,23913375
24378083,24188395
23280275,23207019
23661835,23588954
27282293,26964419
24824158,24685075
23914781,23770748
23384575,23309819
24736055,24559567
25140462,24921459
24270148,24111569
24647138,24453435
24011780,23880538
23771885,23633992
23792094,23600946
23646126,23552218
24062645,23915078
26606249,26448285
24805291,24632959
25549338,25352452
24857333,24678231
26480329,26320541
24012208,23884176
24578518,24425997
25289806,25106822
24147725,24011108
23469655,23325470
24267726,24098341
27518343,27380795
23469821,23323082
24048965,23976102
23796073,23627235
23782064,23715845
28611265,28445053
23888205,23724611
24163085,23933934
24533176,24361107
30757866,30659586
23938577,23770676
27172413,26867707
24328492,24162460
26786921,26462723
24912312,24735013
24194213,24032609
23588477,23493207
24745282,24594346
23244836,23163540
23815944,23630114
27764891,27404016
24195234,24040143
24255134,24122090
23099860,23000731
23705603,23628807
24393574,24215712
24829116,24685930
23399855,23327944
23753074,23654896
24662997,24432020
23769610,23613050
27995256,27644286
23749294,23674065
23448273,23347709
24687170,24553409
23894913,23719895
23990464,23846199
28152405,27837835
23476519,23383223
23547110,23475870
23474602,23400586
23356126,23254459
24177294,24037672
24992826,24792116
24507739,24348991
23184350,23089360
25057162,24868113
23541010,23393188
24854115,24726740
26980815,26841800
24457040,24304607
24282351,24194506
24529166,24378654
23981917,23813309
24000691,23857198
23563615,23462978
24242335,24167130
24702300,24507006
23922858,23746094
25820809,25557433
24019913,23882887
24054866,23979033
24078053,23914870
24987389,24807269
23896311,23735462
24366068,24199559
23782475,23693373
24279365,24135760
24026324,23844333
27822709,27505435
23507649,23423358
23709054,23543760
23464552,23393691
26578713,26439799
27926091,26558703
24059508,23906694
24204014,24059298
23721254,23574768
26099209,25811475
23474137,23401379
24230656,24071668
24128295,23994275
24468814,24321072
24293860,24126135
26922026,26610615
25590228,25342157
23456844,23384578
24256238,24092802
24346915,24193073
23239004,23147497
23369650,23224249
26840826,26566342
25599561,25374874
25004162,24806802
23896252,23763892
24701561,24556228
26097077,25850784
24548544,24397665
24385724,24220980
25652264,25425321
24125520,23975269
24202409,24068371
24128513,23992583
23869623,23762372
26626896,26532513
24160646,23984454
23837692,23694390
23257471,23164585
24710846,24529307
23822749,23748799
23777100,23632920
24343288,24192278
23649275,23552216
27070900,26932030
24622328,24468866
24236684,24086381
23561718,23467578
24361098,24188446
24244989,24094151
23800703,23649026
24050346,23898485
27212775,26918392
24270832,24134060
23508217,23430500
23769518,23677404
23616487,23473236
25044524,24841015
25728153,25462255
24216450,24066434
23695252,23620132
23997519,23847976
23322593,23224774
24326604,24173047
24331353,24157435
24027618,23840498
28734902,28386286
23999576,23828378
25461325,25217511
24388549,24195524
23917563,23764754
24258414,24091319
23736387,23659658
25195402,24975935
24708254,24546322
24106972,23974265
24551439,24410935
24417886,24214678
24336767,24206114
24225990,24083068
23587007,23490287
24002696,23860308
24850592,24672821
24502961,24402260
25506839,25297617
24204245,24128995
23900404,23750646
22866076,22788879
24115227,24037324
23971386,23818856
25168740,24975159
24087134,23940494
23381448,23287060
24293278,24220681
23407245,23279390
23348591,23248924
23698287,23560518
23828927,23753340
23423130,23285519
25291894,25075186
24312044,24141212
24323354,24175979
24250793,24075542
23579793,23440594
24025044,23948970
23523949,23422428
24051959,23914564
27138738,26989637
23345612,23252235
23424335,23353219
24478585,24335489
23859921,23775434
23870313,23772340
27266632,26967478
24722455,24521704
24163354,24007967
23720530,23630655
24815335,24626152
23437442,23276278
24738995,24595592
23943605,23801686
26478924,26318718
24489930,24311075
24424851,24220414
24426756,24229431
23729418,23596073
23916442,23766151
24153032,24008978
24258773,24046058
25080386,24831957
23750323,23623230
24482183,24267774
24603760,24530867
25244378,25021596
24231774,24135918
23623281,23545871
24151680,24078098
23523639,23428023
24182522,24012183
25060801,24833109
23908471,23817999
25079867,24897253
24062186,23911487
26207329,25966062
24068117,23863499
23293503,23217545
25274595,25032395
23731152,23564348
24287398,24141604
23826444,23704177
23451495,23376869
24034621,23853765
23055070,22987570
24771803,24629656
24373092,24217873
24138076,24063963
24636843,24480282
28159229,27883209
25175899,24979161
23759388,23623599
25479769,24002393
24217820,24053925
24129505,23997395
24288789,24123605
23975851,23827648
23530065,23457827
24520937,24371316
23958604,23778657
24522992,24322990
24123301,23952720
24201543,24068578
23585177,23458134
24679206,24470675
24622099,24461285
23522497,23426188
24343737,24182558
23884117,23725402
